experiment,model,building_id,n_observations,MAE,RMSE,R2,NMAE
seen,linear_regression,Bear_education_Merrill,2586,2.651122063400371,3.343490652196316,0.8154938283919062,0.1314334329402386
seen,linear_regression,Bear_education_Nanette,3156,9.745143042548928,15.499936927314577,0.8941817299102504,0.08192222535329675
seen,linear_regression,Bear_education_Wm,3483,2.7920920539352245,3.6641488444600374,0.9191257169683105,0.05633762218242714
seen,linear_regression,Bear_education_Zandra,3408,6.598672214588542,11.576898701704737,0.9013155493744913,0.007153160111089807
seen,linear_regression,Bear_public_Lowell,3488,7.423696902482127,11.74448270789195,0.9161060375014223,0.036493308356232435
seen,linear_regression,Bull_assembly_Goldie,3352,4.578292176465796,6.219087773382171,0.864952982606854,0.0710397608413494
seen,linear_regression,Bull_lodging_Lettie,3347,3.396107167147158,4.342008777880752,0.6235918248285566,0.09211396112157748
seen,linear_regression,Cockatoo_education_Amira,2435,5.1071217576726715,8.594291531334175,0.3625957811456487,0.11499312547087832
seen,linear_regression,Cockatoo_education_Claudine,3143,3.3819533788835274,4.382371774077605,0.2307705103760861,0.08690605404162313
seen,linear_regression,Cockatoo_education_Jack,3143,2.4990155560595957,2.9133622316500896,-0.03084016134371126,0.3496756582043792
seen,linear_regression,Cockatoo_education_June,3146,3.401168818707898,4.482283404178852,0.921481604824764,0.03338080493725479
seen,linear_regression,Cockatoo_education_Victoria,2998,2.5045203253835684,2.8749767532979438,-4.871712304197784,0.5588154649444939
seen,linear_regression,Eagle_assembly_Ian,3338,37.52506201361431,62.75307060938412,0.8350143464021912,0.07788763254840332
seen,linear_regression,Eagle_education_Eileen,3036,3.4322701874975485,4.336401656967448,0.7705847940864671,0.07257381513616602
seen,linear_regression,Eagle_education_Shanna,3321,14.643761850243962,23.3830554667465,0.707269870743345,0.04903381424622223
seen,linear_regression,Eagle_health_Margo,2971,3.196741067007134,3.849529872678016,0.7518999996695623,0.05495580548336482
seen,linear_regression,Eagle_office_Patrice,3325,7.694232356902534,10.610722175497866,0.8322594106071682,0.08822684177788459
seen,linear_regression,Eagle_office_Sonya,3325,11.521008573076854,15.79089280878723,0.7990067097662195,0.0660702858163815
